# C1 词表 - 高中高阶 / 高考冲刺 / 雅思 6.5+ 常见词
# 增量词(已包含 B2 的不重复)
aberration,abolish,abound,abrasive,abrupt,absolve,abstain,abstract,abstruse,abundant
accentuate,acclaim,accommodate,accomplice,accord,accost,accredit,accrue,accumulate,acerbic
acknowledge,acquiesce,acquittal,acrid,acronym,acumen,acute,adamant,admonish,adulation
adversary,adverse,aesthetic,affable,afflict,affluent,aggravate,aggregate,agile,agnostic
alacrity,alibi,alienate,allegiance,allegory,alleviate,allocate,allure,aloof,altercation
altruism,amalgamate,ambiguous,ambivalent,ameliorate,amenable,amiable,amicable,amiss,amnesia
anachronistic,analgesic,analogous,anarchist,anathema,ancillary,anecdote,anguish,animated,annex
annihilate,annul,anomaly,antagonist,antecedent,anticipate,antipathy,antiquated,antithesis,apathy
apex,aphorism,aplomb,apocryphal,apostle,apotheosis,appall,appease,appellation,apposite
apprehend,apprise,arbiter,arbitrary,arbitrate,archaic,ardent,arduous,aristocrat,articulate
ascend,ascertain,ascribe,assail,assent,assert,assiduous,assuage,astute,asylum
atrocious,attenuate,attest,attrition,audacious,austere,autocrat,autonomous,avarice,average
aversion,avert,avid,avow,baleful,banal,bellicose,belligerent,benefactor,benevolent
benign,berate,beseech,besmirch,bestow,bigot,blatant,blithe,bogus,boisterous
bolster,boorish,bourgeois,brandish,brash,brass,brawl,brevity,brisk,broach
bucolic,burgeon,byzantine,cacophony,calamity,callous,calumny,candid,candor,capricious
castigate,catastrophe,caucus,caustic,celestial,cemetery,censure,centurion,chagrin,cherish
chicanery,chide,choleric,chronic,chronicle,circuitous,circumlocution,circumvent,civility,clamor
clandestine,clemency,clique,coalesce,cogent,cognizant,cohere,cohort,collude,combustion
commemorate,commensurate,compendium,complacent,complaisant,comport,compunction,concave,conciliatory
concise,concord,concur,condescend,condolence,conflagration,confluent,conform,confound,congeal
congenial,conglomerate,congruent,conjecture,connive,consecrate,consensus,consort,consternation
consummate,contemn,contentious,contiguous,contravene,contrite,controvert,convene,convivial
convoluted,copious,corollary,corporeal,corroborate,corrosive,coterie,covenant,covet,credulous
creed,culminate,cupidity,curmudgeon,dearth,debacle,debilitate,decadent,decapitate,deceive
decimate,decorum,decrepit,defer,defile,definitive,deflect,defray,defunct,deign
deleterious,deliberate,deluge,demagogue,demonic,demur,dent,deplore,deprave,deprecate
deride,derivative,desecrate,desiderata,despot,desultory,deterrent,diatribe,didactic,diffident
dilatory,diligent,diminish,dire,disabuse,disaffected,disarray,disavow,discomfit,discordant
discourse,discredit,discrete,discursive,disdain,disembark,disengage,disingenuous,disinterested,disjointed
dismissive,disparage,disparate,dispassionate,dispel,disport,disrepute,dissemble,disseminate,dissension
dissent,dissident,dissolute,dissonance,distend,distill,distrait,divagate,divergent,doctrinaire
dogmatic,doleful,dormant,dour,dovetail,droll,duplicity,ebullient,eccentric,eclectic
efficacy,effrontery,egregious,elated,elegy,elicit,eloquent,elucidate,emaciate,embargo
embellish,embezzle,emollient,empirical,emulate,enamored,enervate,enfranchise,engender,engross
ennui,ensconce,ensemble,ensue,enthrall,entreat,entrepreneur,enumerate,ephemeral,epistemic
epitome,equanimity,equitable,equivocate,eradicate,errant,erstwhile,eschew,esoteric,espouse
ethereal,eulogize,euphemism,evanescent,evince,exacerbate,exact,exacting,exalt,exasperate
excoriate,execrable,exegesis,exemplar,exempt,exhilarate,exonerate,exorbitant,expatiate,expedient
expiate,explicate,explicit,expostulate,expunge,extraneous,extrapolate,extricate,exult,facetious
fallacious,fallow,falter,fatuous,fawn,feign,felicitous,fetid,flagrant,flamboyant
flaunt,flippant,florid,flout,foible,forbear,forestall,forfeit,fortuitous,fractious
frantic,fraudulent,frenzied,fret,frugal,futile,gainsay,gambit,gauche,germane
glib,gorgeous,gourmand,grandiloquent,gregarious,grievance,guile,harangue,haughty,hegemony
heretic,hermetic,hilarious,hoary,homogeneous,husbandry,iconoclast,idiosyncrasy,idolatry,ignoble
imbroglio,immolate,immutable,impartial,impasse,impecunious,impede,imperious,imperturbable,impervious
impetuous,impinge,implacable,implicit,implore,impolitic,imponderable,importune,impudent,impugn
inadvertent,inalienable,inane,inarticulate,incendiary,inchoate,incipient,incisive,incontrovertible
incorrigible,incredulous,inculcate,inculpate,incumbent,indefatigable,indelible,indemnify,indict,indigent
indignant,indiscriminate,indolent,indomitable,indubitable,ineffable,ineluctable,inexorable,infidel,ingenuous
inherent,innocuous,inordinate,inquisitorial,inscrutable,insensate,insidious,insinuate,interdict,
interlocutor,interminable,internecine,interpolate,interstice,intransigent,intrepid,intrinsic,inure
invective,inveigh,inveterate,irascible,iridescent,irrefragable,irrelevant,irremediable,irrevocable
itinerant,jargon,junction,laconic,laudable,laureate,lenient,lien,lucrative,lugubrious
luminous,machiavellian,magnanimous,malediction,malleable,malodorous,martinet,maverick,mawkish,maxim
mellifluous, mendacious, mendicant, mercenary, mercurial, meticulous, mitigate, mnemonic, mollify,
moribund,motley,mundane,myriad,nadir,narcissist,nascent,nebulous,nefarious,negate
negligent,neophyte,nettle,noisome,nominal,nonpareil,noxious,nugatory,numinous,obdurate
obfuscate,oblique,obloquy,obsequious,obstinate,obstreperous,obtuse,obviate,occlude,odious
odium,officious,ominous,onerous,onus,opaque,opprobrium,ornery,oscillate,ostensible
ostentatious,pacifist,paean,palatable,palliate,palpable,paradigm,paragon,parameter,paramount
pariah,paroxysm,patent,pedantic,penchant,penurious,perfidious,perfunctory,peripatetic,permeate
pernicious,perpetrate,perspicacious,pertinacious,perturb,peruse,petulant,philistine,phlegmatic,phobia
piety,pithy,pivotal,placate,plaintive,plenary,plethora,poignant,ponderous,portent
potent,pragmatic,preamble,precarious,precept,precipice,precursor,predilection,preeminent,premise
premonition,preponderance,presage,prerogative,prescience,presumptuous,preternatural,prevaricate,primacy
pristine,probity,problematic,prodigal,prodigious,profane,profligate,profuse,progenitor,prognosticate
promulgate,propensity,propitiate,propriety,proscribe,protagonist,protege,protocol,protuberance,provident
providential,pseudonym,puerile,pugnacious,puissant,punctilious,quagmire,quaint,quandary,quiescent
quintessential,quixotic,raconteur,rancor,rant,rapture,raucous,rebuke,recalcitrant,recant
recondite,reconnoiter,recrimination,redoubtable,refractory,refulgent,regale,relegate,relent,remiss
remonstrate,rendition,reparation,repartee,reprise,reprobate,rescind,resilient,resolute,restitution
reticent,revere,rhapsody,rhetoric,rhubarb,ribald,ruminate,sagacious,salacious,salient
salutary,sanctimonious,sanguine,sardonic,scathing,sclerotic,scourge,screed,scruple,scrupulous
scurry,sear,seditious,semaphore,semper,sentient,sentinel,sepulchral,sequacious,sere
sermon,sinecure,sinuous,slake,slew,smattering,solace,solicitous,soliloquy,somnolent
sophistry,sordid,specious,spectrum,spendthrift,splice,spurious,stentorian,stigma,stint
stipulate,stolid,stratum,stultify,stupefy,stygian,subjugate,sublime,subpoena,subside
subversive,suffuse,sully,sultry,sumptuous,sunder,supercilious,superfluous,supplant,suppliant
supplicant,surreptitious,symposium,synopsis,taciturn,tangential,tawdry,tedium,tendentious,tentative
tenuous,terse,timorous,tirade,titular,torpid,torpor,tortuous,transcend,transmute
travesty,tremor,tremulous,trenchant,truculent,turbid,turpitude,ubiquitous,umbrage,uncouth
undermine,undulate,unequivocal,unfettered,untenable,untoward,upbraid,urbane,usurp,uxorious
vacillate,vagary,valedictory,vapid,vaunted,venal,venial,veracity,verbatim,verbose
verdant,verisimilitude,veritable,vernacular,vestige,veteran,viable,vicarious,vicissitude,vigilant
vignette,vilify,vindicate,virtuoso,virulent,viscous,vituperate,vivacious,vociferous,volatile
