# B2 词表 - 高中进阶词汇(Oxford 5000 / Longman 5700 近似)
# B2 词表 = B1 词表 + 以下 B2 增量词
ability,absorb,abstract,abuse,academic,accept,access,accident,accompany,accomplish
according,account,accuracy,accurate,accuse,achieve,acknowledge,acquire,action,actual
actually,adapt,addition,adequate,adjust,admire,admit,adopt,advance,advantage
adventure,advertise,advice,advise,affair,affect,afford,afraid,agency,agenda
aggressive,agree,aid,aim,alarm,alcohol,alien,alike,allergy,allowance
ally,alter,alternative,amaze,ambition,analyze,ancient,anger,announce,annoy
annual,anonymous,anxiety,apart,apparent,appeal,appear,appendix,appetite,applaud
apply,appoint,approach,appropriate,approve,approximate,arbitrary,argue,argument,arise
arrange,arrest,arrival,arrow,artificial,ashamed,aside,aspect,assemble,assess
asset,assign,assist,associate,assume,assure,athlete,atomic,attach,attain
attempt,attend,attention,attorney,attract,auction,average,avoid,awake,award
aware,awful,bachelor,backbone,background,backward,bacon,bacteria,balance,ban
bandage,bankrupt,banner,barely,bargain,barrel,barrier,basic,battle,beam
bear,beard,beat,behave,belief,belong,beneficial,besides,betray,billion
biological,bitter,blame,blast,bleed,blend,bless,bloody,bloom,blunt
blush,boast,boil,bold,bonus,border,bore,boring,borrow,boss
bother,boundary,brand,breach,breed,breeze,bride,brilliant,broadcast,brook
bruise,bubble,budget,buffalo,bug,bulk,bully,bunch,burden,bureau
burial,burst,bury,business,bypass,cable,calculate,campaign,candidate,capable
capacity,cape,capital,captain,capture,carbon,career,carve,cash,casino
casual,category,caution,cease,ceiling,celebrate,cellar,cement,cemetery,central
ceremony,certain,chain,chairman,challenge,chamber,champion,channel,chapter,character
charge,charity,charm,chart,chase,cheat,cheer,chemical,chest,chief
childhood,chill,chip,choke,chop,circumstance,citizen,civil,civilian,claim
clarify,clarity,clash,classic,classify,clause,clever,client,cliff,cling
clinic,clip,clone,closet,cloth,clue,cluster,coach,coastal,code
coincidence,collapse,colleague,collect,collision,colonial,commence,commerce,commit,committee
common,communicate,community,compact,company,compare,compete,complain,complement,complex
complicate,compliment,component,compose,compound,comprehensive,comprise,compromise,compulsory,computer
conceal,concentrate,concept,concern,conclude,concrete,condemn,conduct,confer,confess
confidence,confidential,confirm,conflict,confront,confuse,congratulate,congress,conquer,conscience
conscious,consequence,conservation,conservative,consider,consist,consistent,constant,constitute,constrain
construct,consult,consume,contact,contain,contemporary,contest,context,continent,continue
contract,contrast,contribute,controversy,convenient,convention,convince,cooperate,coordinate,cope
corporate,corps,corrupt,costume,cottage,council,counsel,counter,country,couple
courage,course,court,cousin,craft,crash,credit,crew,crime,crisis
criterion,criticize,crop,crucial,cruise,crystal,cultivate,cultural,cupboard,curious
currency,current,curriculum,custom,customer,cycle,daily,dairy,damage,darling
data,dawn,deadline,debate,decay,deceive,decent,declare,decline,decorate
decrease,defeat,defend,defense,define,degree,delay,deliberate,delicate,deliver
demand,democracy,demonstrate,denial,denounce,dense,dental,depart,depend,depict
deposit,depression,derive,descend,describe,deserve,designate,desire,desperate,despite
destroy,detach,detail,detect,determine,develop,device,devise,devote,dialect
differ,digest,dignity,dimension,diminish,dip,diploma,direct,disabled,disagree
disappear,disaster,discard,discharge,discipline,discount,discover,discriminate,discuss,disease
disgust,dismiss,disorder,display,dispose,dispute,distant,distinct,distinguish,distort
distract,distress,distribute,district,disturb,diverse,divide,divorce,doctor,document
domestic,dominate,donate,dormitory,doubt,dramatic,drawback,dread,dream,dress
drift,drill,drunk,due,dull,dumb,durable,dusk,duty,dwell
dynamic,eager,earnest,earthquake,ease,echo,ecology,edge,edit,effect
efficient,elaborate,elapse,elastic,election,electric,elect,element,elevator,eligible
eliminate,embarrass,embrace,emerge,emergency,emit,emotion,emphasis,empire,employ
empower,empty,enable,enclose,encounter,encourage,endeavor,endless,endure,enemy
energy,enforce,engage,engine,enhance,enormous,ensure,enter,enterprise,entertain
enthusiasm,entire,entitle,entry,environment,equal,equip,equivalent,era,erase
erupt,essential,establish,estate,estimate,ethnic,evaluate,event,eventually,evidence
evolve,exact,exaggerate,examine,example,exceed,excel,except,exchange,exclaim
exclude,excursion,execute,exempt,exercise,exhaust,exhibit,exist,exit,expand
expect,expire,explain,explode,exploit,explore,export,expose,extend,external
extinct,extraordinary,extreme,eyebrow,fable,fabric,fabulous,facial,facility,faculty
fade,fail,faint,fairly,faith,fame,familiar,famine,fancy,fault
favor,fearless,feature,fertile,festival,fiber,field,fierce,fifteen,figure
filter,finance,fireworks,firm,first,fiscal,fitting,fix,fixture,flame
flavor,flee,flesh,flexible,flicker,flour,flourish,fluctuate,fluid,flush
focus,forbid,forecast,former,formula,fortune,forum,foster,founder,fourth
fragile,frame,fraud,freedom,freight,frighten,frock,frontier,frown,fruitful
frustrate,fuel,fulfill,function,fundamental,funeral,furious,furnish,fury,fusion
gain,galaxy,gallon,gamble,gang,gap,garbage,gauge,gear,gender
gene,generate,generous,genius,genuine,gesture,giant,glacier,glance,glare
glide,gloom,glory,gloss,glove,govern,grace,gradual,grand,grant
grasp,grateful,grave,gravity,grief,grin,grip,grind,grip,gross
guarantee,guardian,guess,guest,guidance,guilt,gymnasium,habit,harbor,harmony
harsh,harvest,haste,hatch,headline,headquarters,heal,heap,hearing,heartbeat
heaven,heir,helmet,heritage,hesitate,highlight,hint,historic,hollow,honest
honor,hook,horror,hostile,household,humor,husband,identical,identify,identity
ideology,ignorance,illegal,illness,illustrate,image,imagine,imitate,immediate,immense
immune,impact,implement,imply,impose,impress,improve,impulse,incident,include
income,incorporate,increase,incredible,indeed,independent,index,indicate,indirect,individual
indoor,industrial,inevitable,infant,infect,infinite,inflate,inflexible,influence,inform
inhabit,inherent,inherit,initial,initiate,injure,inland,inmate,innovate,input
inquire,insane,insect,insert,inside,insight,insist,inspect,inspire,install
instance,institute,instruct,instrument,insult,intact,integral,integrate,integrity,intellectual
intense,intent,interact,interest,interfere,interim,interpret,interrupt,interval,intervene
intimate,intimidate,intricate,introduce,intrude,invasive,invent,inverse,invest,investigate
invisible,invite,involve,irony,irregular,irritate,isolate,issue,item,jam
jealous,jeopardize,jewel,jingle,job,joint,journal,judge,junction,jungle
junior,jury,justify,keen,kidnap,kilometer,kneel,knit,knock,label
labor,laboratory,lack,ladder,lament,landscape,language,launch,laundry,lawsuit
layer,layout,leader,league,leak,lean,leap,lecture,legal,legend
legislation,legitimate,leisure,length,lens,lessen,letdown,liable,liberate,license
lifelong,lifestyle,lifetime,lightning,likewise,limb,limitation,linger,liquid,literary
liter,literature,livestock,loan,local,locate,lodge,lofty,logic,loose
loot,loyal,luck,luggage,luminous,lunar,lure,luxury,machinery,magical
magistrate,magnet,magnify,magnitude,maid,mainland,maintain,maize,majority,malaria
malicious,manage,mandate,manner,manufacture,margin,marine,marvel,massive,master
material,mathematical,mattress,mature,maximum,mayor,meadow,meanwhile,measure,mechanic
medal,medium,melody,melt,memo,memorial,mend,mental,mention,merchant
merge,merit,method,middle,mighty,migrate,mild,militant,military,million
mimic,mind,mingle,minister,minor,minority,minus,minute,miracle,mirror
misery,missile,mistress,mix,mobile,moderate,modest,modify,moist,mole
monarch,monastery,monitor,monster,monument,mood,moot,moreover,mortal,mosaic
mosque,motion,motivate,motive,mound,mount,mourn,multiple,murder,murmur
muscle,museum,muster,mutual,mysterious,naive,narrate,narrow,nasty,nation
native,natural,navigate,necessity,negative,neglect,negotiate,neighbor,nephew,nerve
network,neutral,nevertheless,niece,nightmare,nimble,noble,noise,nominate,nonetheless
norm,notable,note,notice,notion,notorious,novel,novice,noxious,nuisance
numb,numerous,nurse,nurture,obey,objection,objective,obligation,observe,obstacle
obtain,obvious,occasional,occupation,occupy,occur,odor,offend,offense,offline
offset,offspring,olive,omit,ongoing,onward,opaque,operate,opinion,opponent
opportunity,oppose,oppress,opt,optimistic,option,oracle,oral,orbit,orderly
ordinary,organ,organic,organize,origin,orphan,otherwise,ought,outbreak,outcome
outline,output,outrage,outright,outside,outskirts,overcome,overhead,overhear,overlap
overlook,overnight,overwhelm,overwhelm,owner,oxygen,pacific,package,pact,paddle
painter,pamphlet,pantry,parade,paradox,parallel,paralysis,paramount,parcel,pardon
parental,parliament,partial,participate,partner,passage,passion,passive,patch,patent
patience,patriotic,patron,pavement,payment,peaceful,peasant,peculiar,pedal,penalty
pending,pension,perceive,percentage,perception,perfection,perform,perhaps,period,perish
permanent,permission,permit,perpetual,persecute,persevere,persist,personnel,perspective,persuade
petition,petty,phase,phenomenon,philosopher,phone,photograph,phrase,physical,picture
pilgrim,pillar,pioneer,pipe,pistol,pitch,plague,plain,plaintiff,plan
planet,plausible,plead,plentiful,plot,plow,plug,plunder,pocket,poetry
poison,polar,pole,police,policy,polish,polite,political,poll,pollute
pond,ponder,popular,populate,portion,portrait,pose,position,positive,possess
possible,postpone,potential,poultry,practical,praise,pray,preach,precede,precious
precise,predator,predecessor,predict,predominant,prefer,pregnant,prejudice,preliminary,premier
premium,prepare,prescribe,presence,preserve,pressure,prestige,presume,pretend,prevail
prevent,previous,prey,pride,primary,prime,primitive,principal,principle,priority
prison,privacy,probable,probe,problem,procedure,proceed,procure,produce,profession
professor,profile,profit,profound,progress,prohibit,project,prolong,prominent,promise
promote,prompt,prone,proof,proper,property,prophecy,proportion,propose,prosecute
prospect,prosper,protect,protein,protest,prototype,proud,prove,provide,province
provoke,psychology,public,pudding,pulse,pump,punch,pupil,purchase,pure
pursue,puzzle,qualify,quantity,quarrel,quarry,quartz,queen,query,quest
questionnaire,queue,quicken,quota,quote,racism,radar,radiate,radical,rage
raid,railway,rampant,ranch,random,range,rapid,rare,rate,rather
rating,ratio,rattle,raw,reach,react,readily,realistic,realm,reason
rebel,recall,receipt,receive,recent,reception,recession,recipe,recipient,reckless
reckon,reclaim,recognize,recommend,reconcile,record,recover,recruit,recycle,reduce
refer,reference,reflect,reform,refrain,refresh,refuge,refund,refusal,regarding
regiment,register,regret,regular,regulate,rehearse,reign,reinforce,reject,rejoice
relate,relax,release,relevant,reliable,relief,religion,reluctant,remain,remark
remedy,remember,remind,remote,remove,render,renew,renovate,renowned,rent
repair,repay,repeat,repel,replace,reply,report,represent,reproduce,republic
reputation,request,require,rescue,research,resemble,resent,reserve,reside,resign
resist,resolve,resort,resource,respect,respond,restore,restrain,restrict,result
resume,retail,retain,retire,retreat,retrieve,reveal,revenge,revenue,reverse
review,revise,revive,revolt,reward,rhythm,ribbon,ridiculous,rifle,rigid
rigorous,rinse,risk,ritual,rival,river,robust,romance,rough,roundabout
routine,royal,rub,rude,rugged,ruin,rumor,rupture,rural,sack,sacred
saddle,safari,saint,salad,salary,salute,sample,sanction,sane,satire
satisfy,saturate,sauce,saucer,savage,scale,scan,scandal,scar,scarce
scare,scenario,schedule,scheme,scholar,science,scope,score,scorn,screen
script,scrutiny,sculpture,seal,seam,search,seashore,season,seat,second
secrete,section,sector,secure,seek,seemingly,segment,seize,seldom,select
senator,sensation,sensible,sensitive,sentence,separate,sequence,series,seriously,serve
service,settle,severe,shabby,shade,shadow,shake,shallow,shame,shape
share,shark,sharp,shatter,shed,sheer,shelter,shepherd,sheriff,shield
shift,shimmer,shine,shipment,shiver,shock,shovel,shower,shred,shriek
shrink,shrub,shrug,shudder,shy,sibling,sigh,sight,signal,silence
silk,silly,similar,simmer,simple,simulate,sincere,sinful,single,sinister
sink,sip,siren,sister,situate,skeleton,skeptical,sketch,skillful,skim
skip,skull,slack,slander,slash,slaughter,slave,sleek,slender,slide
slight,slim,slip,slippery,slogan,slope,sloppy,slot,smart,smash
smear,smell,smirk,smooth,smother,smuggle,Snack,snarl,snatch,sneak
sneer,sniff,soak,sober,sociable,social,soda,sofa,soft,soldier
sole,solemn,solicit,solid,solo,solitary,soluble,solution,solve,somewhat
soothe,sordid,sore,sorrow,sort,sought,sound,soup,sour,source
sovereign,sovereignty,so-called,spanish,spare,spark,sparrow,spatial,spawn,special
species,specific,specify,spectrum,speculate,speech,speed,spell,spend,sphere
spice,spike,spill,spin,spinach,spine,spirit,spit,splendid,split
spoil,spokesman,sponsor,spontaneous,spot,spouse,spread,sprinkle,sprout,spruce
spur,spy,squad,square,squash,squat,squirm,stab,stable,stack
staff,stage,stagger,staid,stain,staircase,stale,stalk,stall,stamina
stamp,stance,standard,staple,stare,startle,starve,stash,state,station
